terrainID,position,direction,average_power,power_group
aa0y,4,27,8.646698,0
aa0y,4,26,13.5296,0
aa4e,4,6,50.97876,0
aa0y,4,23,47.7383,0
aa0x,4,27,7.864576,0
aa0x,4,28,25.35127,0
aa4f,4,28,20.93641,0
aa4f,4,27,22.1175,0
aa4f,4,25,12.2618,0
aa4f,4,24,31.00121,0
aa4f,4,23,53.76669,0
aa0x,4,7,36.28394,0
aa0x,4,9,42.71717,0
aa4f,4,12,29.63066,0
aa4f,4,11,10.66822,0
aa4f,4,7,57.43851,0
aa4f,4,10,52.43541,0
aa4f,3,6,56.68288,0
aa0y,1,3,52.65707,0
aa4f,2,3,58.91721,0
aa0y,2,3,55.50456,0
aa4f,1,3,60.54014,0
aa0y,3,6,57.85735,0
aa0y,4,10,8.383356,0
aa0y,4,11,57.55006,0
aa4f,0,6,66.46397,0
aa4e,4,9,14.00251,0
aa4e,4,8,65.82143,0
aa0y,0,6,68.77222,0
aa0z,4,23,40.51272,0
aa0v,4,23,69.2893,0
aa0v,4,11,28.33683,0
aa4l,1,3,45.38095,0
aa0s,4,23,44.07097,0
aa0s,4,25,54.6962,0
aa0s,4,26,14.8851,0
aa0s,4,27,16.65594,0
aa4k,4,9,8.597996,0
aa4k,4,8,35.71547,0
aa4k,4,6,46.07608,0
aa0s,4,7,38.43417,0
aa0s,4,9,27.93581,0
aa0t,0,6,66.80476,0
aa4k,4,27,37.0729,0
aa4k,4,26,8.379723,0
aa4k,4,25,25.78603,0
aa4k,4,23,36.31249,0
aa0t,1,3,56.89038,0
aa0t,2,3,54.82977,0
aa0t,3,6,56.60477,0
aa0t,4,10,25.07883,0
aa4k,4,10,33.98689,0
aa0t,4,11,13.6059,0
aa0t,4,12,60.27221,0
aa4k,3,6,54.25027,0
aa4l,2,3,58.47292,0
aa0s,4,11,48.65995,0
aa0s,4,10,8.143535,0
aa0s,3,6,48.16589,0
aa0r,3,6,62.2773,0
aa4m,2,3,53.48345,0
aa0r,4,10,20.78953,0
aa4m,1,3,69.65832,0
aa0r,4,23,44.95297,0
aa0r,4,25,52.40408,0
aa0r,4,26,10.8839,0
aa0r,4,27,18.9366,0
aa4l,4,9,18.74157,0
aa4l,4,6,51.28672,0
aa0r,4,5,69.80333,0
aa4k,2,3,42.42034,0
aa0r,4,6,38.27071,0
aa0r,4,9,11.21644,0
aa4l,4,27,30.01696,0
aa4l,4,26,12.09201,0
aa4l,4,25,53.9361,0
aa0s,0,6,61.52437,0
aa4l,4,23,47.16309,0
aa0s,1,3,52.94654,0
aa0s,2,3,50.43101,0
aa4l,4,11,64.07917,0
aa4l,4,10,12.13821,0
aa4l,3,6,49.11401,0
aa0r,4,8,56.76907,0
aa4i,0,6,67.85923,0
aa0t,4,23,69.97728,0
aa0t,4,25,13.46978,0
aa4i,4,8,62.22113,0
aa0u,4,25,19.97128,0
aa4i,4,6,41.15152,0
aa0u,4,27,34.20065,0
aa0u,4,28,16.50504,0
aa0u,4,29,54.04428,0
aa4i,4,28,55.13939,0
aa4i,4,27,11.50174,0
aa4i,4,26,19.58185,0
aa4i,4,23,51.10234,0
aa0u,4,6,68.33496,0
aa0u,4,7,42.33571,0
aa0u,4,8,14.38154,0
aa0v,0,6,57.30674,0
aa4i,4,11,68.62255,0
aa4i,4,10,14.97448,0
aa0v,1,3,56.8766,0
aa4i,3,6,68.04233,0
aa4i,2,3,59.87178,0
aa0v,2,3,53.19756,0
aa4i,1,3,52.70509,0
aa0v,3,6,64.10866,0
aa0v,4,10,5.711419,0
aa4i,4,9,13.8045,0
aa0u,4,24,52.34363,0
aa0u,4,12,61.22632,0
aa0u,4,11,14.85683,0
aa0t,4,27,21.30762,0
aa0t,4,28,10.81284,0
aa0t,4,29,49.59171,0
aa4k,0,6,42.87986,0
aa4j,4,8,14.40483,0
aa4j,4,7,39.36094,0
aa0t,4,7,54.90377,0
aa0t,4,8,16.53189,0
aa4j,4,28,17.1617,0
aa4j,4,27,10.09222,0
aa4j,4,26,50.53303,0
aa0t,4,24,35.66628,0
aa0u,0,5,68.67871,0
aa4j,4,23,61.37996,0
aa0u,0,6,36.92042,0
aa0u,1,3,69.17578,0
aa4j,4,11,13.46815,0
aa4j,4,10,16.98854,0
aa4j,3,6,52.77369,0
aa0u,2,3,53.31048,0
aa4j,2,3,57.7409,0
aa0u,3,6,51.29881,0
aa0u,4,10,26.06793,0
aa4j,1,3,66.23256,0
aa4j,4,24,30.01779,0
aa0z,4,25,56.78587,0
aa0z,4,26,18.86098,0
aa0z,4,27,14.75798,0
aa14,4,8,47.67092,0
aa14,4,9,10.53803,0
aa48,3,6,63.74218,0
aa48,2,3,48.67648,0
aa15,0,6,55.85134,0
aa48,1,3,59.66468,0
aa15,2,2,69.23679,0
aa15,2,3,40.49871,0
